Data,Dobowa liczba wykonanych testów,Dobowa liczba osób z wynikiem pozywnym,7-dniowa średnia dobowej liczby wykonanych testów,7-dniowa średnia dobowego % wyników pozytywnych  (w dobowej liczbie testów)
2021-03-30,102818,32874,90 798,"31,4%"
2021-03-31,109430,35251,91 777,"31,3%"
2021-04-01,101437,30546,90 880,"30,9%"
2021-04-02,94331,28073,89 916,"30,7%"
2021-04-03,72281,22947,87 882,"30,4%"
2021-04-04,39393,9902,85 683,"29,6%"
2021-04-05,44934,8245,80 661,"28,5%"
2021-04-06,90901,14910,78 958,"26,2%"
2021-04-07,111531,27887,79 258,"25,2%"
2021-04-08,107306,28487,80 097,"24,7%"
2021-04-09,105019,24856,81 624,"23,8%"
2021-04-10,91870,21703,84 422,"22,7%"
2021-04-11,58456,12013,87 145,"22,0%"
2021-04-12,81902,13227,92 426,"21,7%"
2021-04-13,99099,21283,93 598,"22,4%"
2021-04-14,91158,21130,90 687,"22,2%"
2021-04-15,83083,17847,87 227,"21,4%"
2021-04-16,85431,15763,84 428,"20,7%"
2021-04-17,65410,12153,80 648,"20,0%"
2021-04-18,47649,7283,79 105,"19,2%"
2021-04-19,70590,9246,77 489,"18,8%"
2021-04-20,80299,13926,74 803,"18,2%"
2021-04-21,71738,12762,72 029,"17,4%"
2021-04-22,62513,10858,69 090,"16,8%"
2021-04-23,70872,9505,67 010,"16,1%"
2021-04-24,51139,7219,64 971,"15,5%"
2021-04-25,33801,3451,62 993,"14,8%"
2021-04-26,64810,5709,62 167,"14,1%"
2021-04-27,71722,8895,60 942,"13,4%"
2021-04-28,65831,8427,60 098,"12,7%"
2021-04-29,61274,6796,59 921,"11,8%"
2021-04-30,63400,6469,58 854,"11,4%"
2021-05-01,43353,4612,57 742,"10,9%"
2021-05-02,31030,2525,57 346,"10,6%"
2021-05-03,31160,2296,52 539,"10,4%"
2021-05-04,56250,3896,50 328,"9,6%"
2021-05-05,66627,6431,50 442,"9,1%"
2021-05-06,65711,6047,51 076,"8,9%"
2021-05-07,63455,4765,51 084,"8,5%"
2021-05-08,52161,3852,52 342,"8,0%"
2021-05-09,36962,2032,53 189,"7,6%"
2021-05-10,62647,3098,57 688,"7,3%"
2021-05-11,66234,4255,59 114,"7,2%"
2021-05-12,57175,3730,57 764,"6,8%"
2021-05-13,60647,3288,57 040,"6,2%"
2021-05-14,57062,2896,56 127,"5,9%"
2021-05-15,48958,2167,55 669,"5,5%"
2021-05-16,33095,1109,55 117,"5,2%"
2021-05-17,59703,1734,54 696,"4,9%"
